"Date","Price","Open","High","Low","Vol.","Change %"
"10/13/2025","0.26","0.25","0.26","0.25","13.33M","2.77%"
"10/12/2025","0.25","0.25","0.26","0.25","7.03M","0.00%"
"10/08/2025","0.25","0.25","0.25","0.25","8.99M","0.00%"
"10/07/2025","0.25","0.25","0.26","0.25","21.54M","0.00%"
"10/06/2025","0.25","0.25","0.25","0.25","17.14M","0.00%"
"10/05/2025","0.25","0.25","0.25","0.25","13.35M","0.00%"
"10/02/2025","0.25","0.25","0.26","0.25","9.06M","0.00%"
"10/01/2025","0.25","0.25","0.26","0.25","20.56M","0.00%"
"09/30/2025","0.25","0.26","0.26","0.25","49.05M","0.00%"
"09/29/2025","0.26","0.27","0.27","0.26","14.29M","-2.27%"
"09/28/2025","0.26","0.26","0.27","0.26","14.57M","0.00%"
"09/25/2025","0.26","0.26","0.27","0.26","21.42M","0.00%"
"09/24/2025","0.26","0.26","0.26","0.26","11.05M","0.00%"
"09/23/2025","0.26","0.26","0.28","0.26","47.99M","0.00%"
"09/22/2025","0.26","0.26","0.27","0.25","18.82M","0.00%"
"09/21/2025","0.26","0.26","0.27","0.26","6.03M","0.00%"
"09/18/2025","0.26","0.26","0.27","0.26","7.23M","0.00%"
"09/17/2025","0.26","0.27","0.27","0.26","10.84M","0.00%"
"09/16/2025","0.27","0.28","0.28","0.26","18.95M","-3.27%"
"09/15/2025","0.28","0.27","0.28","0.26","60.60M","3.38%"
"09/14/2025","0.27","0.27","0.27","0.27","8.30M","0.00%"
"09/11/2025","0.27","0.28","0.28","0.27","14.70M","0.00%"
"09/10/2025","0.27","0.27","0.27","0.26","7.12M","0.00%"
"09/09/2025","0.27","0.28","0.28","0.26","24.47M","-3.62%"
"09/08/2025","0.28","0.28","0.29","0.28","34.89M","0.00%"
"09/07/2025","0.28","0.28","0.29","0.28","11.81M","0.00%"
"09/03/2025","0.28","0.28","0.29","0.28","17.08M","0.00%"
"09/02/2025","0.28","0.27","0.30","0.27","106.49M","5.28%"
"09/01/2025","0.26","0.27","0.27","0.26","19.20M","0.00%"
"08/31/2025","0.26","0.28","0.28","0.26","18.36M","-4.35%"
"08/28/2025","0.28","0.26","0.29","0.26","46.73M","5.34%"
"08/27/2025","0.26","0.27","0.27","0.26","11.54M","0.00%"
"08/26/2025","0.26","0.27","0.27","0.26","11.26M","-2.22%"
"08/25/2025","0.27","0.27","0.28","0.27","16.34M","0.00%"
"08/24/2025","0.27","0.28","0.28","0.27","14.30M","-2.15%"
"08/21/2025","0.28","0.28","0.29","0.28","19.41M","0.00%"
"08/20/2025","0.28","0.30","0.30","0.28","34.19M","-5.05%"
"08/19/2025","0.30","0.30","0.31","0.30","23.27M","0.00%"
"08/18/2025","0.30","0.30","0.31","0.29","37.90M","0.00%"
"08/17/2025","0.30","0.29","0.30","0.29","14.60M","2.74%"
"08/14/2025","0.29","0.30","0.30","0.29","20.51M","-2.67%"
"08/13/2025","0.30","0.30","0.31","0.30","53.71M","0.00%"
"08/12/2025","0.30","0.34","0.36","0.29","188.27M","0.00%"
"08/11/2025","0.30","0.30","0.30","0.30","22.90M","19.68%"
"08/10/2025","0.25","0.25","0.25","0.25","","0.00%"
