"Date","Price","Open","High","Low","Vol.","Change %"
"11/04/2025","45.00","45.18","45.50","44.60","217.82K","0.00%"
"11/03/2025","45.00","44.80","45.19","44.02","877.90K","0.83%"
"11/02/2025","44.63","45.00","45.35","44.63","420.97K","-0.80%"
"10/30/2025","44.99","45.00","45.49","44.71","1.65M","0.00%"
"10/29/2025","44.99","45.29","45.60","44.26","648.08K","-0.35%"
"10/28/2025","45.15","43.30","45.50","43.01","966.17K","4.27%"
"10/27/2025","43.30","43.01","43.44","42.96","1.34M","0.07%"
"10/26/2025","43.27","43.19","43.60","42.90","89.79K","0.19%"
"10/23/2025","43.19","43.00","43.50","42.80","77.92K","0.44%"
"10/22/2025","43.00","43.00","43.08","42.60","208.41K","0.00%"
"10/21/2025","43.00","42.00","43.60","42.00","154.34K","-0.51%"
"10/20/2025","43.22","43.00","43.88","42.80","287.38K","0.51%"
"10/19/2025","43.00","42.70","43.69","42.25","222.63K","1.18%"
"10/16/2025","42.50","42.55","42.72","42.00","163.42K","0.90%"
"10/15/2025","42.12","41.85","42.60","41.80","349.71K","0.77%"
"10/14/2025","41.80","42.15","42.50","41.63","94.26K","-0.52%"
"10/13/2025","42.02","42.26","42.74","42.02","194.72K","-0.57%"
"10/12/2025","42.26","42.50","42.75","41.50","49.37K","-0.33%"
"10/08/2025","42.40","42.32","42.50","41.70","1.05M","0.95%"
"10/07/2025","42.00","42.20","42.60","42.00","729.57K","-0.40%"
"10/06/2025","42.17","42.60","42.75","42.00","209.18K","-0.89%"
"10/05/2025","42.55","42.60","43.10","42.50","294.51K","0.12%"
"10/02/2025","42.50","41.88","42.90","41.75","604.15K","1.19%"
"10/01/2025","42.00","42.65","43.00","41.01","670.12K","-1.41%"
"09/30/2025","42.60","43.40","43.45","42.51","459.02K","-0.93%"
"09/29/2025","43.00","43.40","43.45","42.30","793.57K","-0.51%"
"09/28/2025","43.22","43.49","43.49","42.50","207.69K","1.60%"
"09/25/2025","42.54","43.94","43.94","42.54","345.72K","-3.19%"
"09/24/2025","43.94","43.40","43.94","42.26","486.24K","1.17%"
"09/23/2025","43.43","42.00","43.43","41.10","144.15K","3.40%"
"09/22/2025","42.00","41.00","42.00","40.50","111.35K","3.07%"
"09/21/2025","40.75","41.00","41.35","40.20","235.06K","-0.61%"
"09/18/2025","41.00","38.50","41.00","38.25","1.68M","7.36%"
"09/17/2025","38.19","38.50","38.50","38.00","116.85K","-0.29%"
"09/16/2025","38.30","38.25","38.33","37.97","76.86K","0.79%"
"09/15/2025","38.00","38.10","38.34","37.61","728.35K","0.00%"
"09/14/2025","38.00","38.23","38.49","37.21","163.31K","-0.60%"
"09/11/2025","38.23","38.50","38.85","37.63","779.33K","-0.70%"
"09/10/2025","38.50","38.50","38.75","37.20","91.44K","-1.26%"
"09/09/2025","38.99","37.55","38.99","36.88","566.18K","4.87%"
"09/08/2025","37.18","36.95","37.33","36.90","127.58K","0.41%"
"09/07/2025","37.03","37.23","37.97","36.70","64.57K","-0.54%"
"09/03/2025","37.23","38.00","38.00","36.75","361.25K","-0.98%"
"09/02/2025","37.60","38.39","38.40","37.50","901.24K","-2.08%"
"09/01/2025","38.40","37.70","38.50","37.65","117.63K","1.08%"
"08/31/2025","37.99","38.70","38.70","37.73","67.45K","-1.83%"
"08/28/2025","38.70","39.00","39.00","37.52","579.06K","-0.77%"
"08/27/2025","39.00","37.15","39.00","37.10","568.90K","4.06%"
"08/26/2025","37.48","37.65","37.65","37.05","2.29M","-0.05%"
"08/25/2025","37.50","37.98","38.00","37.00","186.10K","-0.90%"
"08/24/2025","37.84","36.50","37.84","36.30","123.94K","3.67%"
"08/21/2025","36.50","36.74","36.84","36.30","349.30K","-0.05%"
"08/20/2025","36.52","36.75","37.20","36.30","541.63K","-1.03%"
"08/19/2025","36.90","37.00","37.39","36.59","172.22K","0.33%"
"08/18/2025","36.78","38.30","38.65","36.05","768.74K","-3.79%"
"08/17/2025","38.23","38.00","38.73","37.71","55.23K","0.61%"
"08/14/2025","38.00","38.27","38.60","37.63","198.17K","-0.71%"
"08/13/2025","38.27","38.71","38.99","38.02","59.53K","-1.11%"
"08/12/2025","38.70","38.49","39.00","38.49","4.22M","0.76%"
"08/11/2025","38.41","39.00","39.00","37.02","998.79K","-1.44%"
"08/10/2025","38.97","39.00","39.00","38.70","89.55K","-0.59%"
"08/07/2025","39.20","38.50","39.20","37.60","733.24K","1.84%"
"08/06/2025","38.49","37.96","38.49","36.52","749.34K","1.37%"
"08/05/2025","37.97","36.00","37.97","35.62","1.46M","5.47%"
"08/04/2025","36.00","35.00","36.25","35.00","1.20M","2.74%"
"08/03/2025","35.04","34.00","35.05","34.00","184.45K","3.21%"
"07/31/2025","33.95","33.77","34.00","33.40","955.24K","-0.15%"
"07/30/2025","34.00","32.73","34.15","32.73","1.45M","3.03%"
"07/29/2025","33.00","32.48","33.67","32.46","2.37M","1.66%"
"07/28/2025","32.46","33.00","33.00","32.13","1.24M","-1.64%"
"07/27/2025","33.00","33.00","33.29","32.80","96.94K","0.00%"
"07/23/2025","33.00","32.89","33.00","32.53","1.84M","1.23%"
"07/22/2025","32.60","33.00","33.44","32.60","564.65K","-1.21%"
"07/21/2025","33.00","33.10","33.45","32.00","5.21M","-0.03%"
"07/20/2025","33.01","32.50","33.25","32.33","187.81K","1.57%"
"07/17/2025","32.50","32.59","32.85","31.53","8.56M","1.25%"
"07/16/2025","32.10","33.39","33.39","32.06","284.49K","-2.73%"
"07/15/2025","33.00","33.50","33.88","32.81","4.11M","-2.65%"
"07/14/2025","33.90","32.00","33.90","31.46","3.47M","5.84%"
"07/13/2025","32.03","31.99","32.20","31.98","181.30K","0.13%"
"07/10/2025","31.99","31.90","32.32","31.49","5.76M","0.28%"
"07/09/2025","31.90","31.97","31.97","31.35","3.50M","-0.22%"
"07/07/2025","31.97","31.78","32.00","31.31","504.00K","0.53%"
"07/06/2025","31.80","31.25","31.81","31.02","276.59K","1.76%"
"07/02/2025","31.25","31.60","31.70","30.81","1.88M","0.84%"
"07/01/2025","30.99","30.47","30.99","29.80","19.41M","3.30%"
"06/30/2025","30.00","30.50","31.90","29.91","4.34M","-0.33%"
"06/29/2025","30.10","30.40","30.78","30.10","539.85K","-1.31%"
"06/25/2025","30.50","30.50","30.78","30.00","2.36M","0.00%"
"06/24/2025","30.50","29.40","30.50","29.19","1.50M","4.63%"
"06/23/2025","29.15","29.15","29.44","28.90","3.05M","0.34%"
"06/22/2025","29.05","27.67","29.10","26.60","1.10M","4.31%"
"06/19/2025","27.85","29.03","29.49","27.55","6.20M","-3.97%"
"06/18/2025","29.00","29.88","29.88","29.00","630.08K","-2.98%"
"06/17/2025","29.89","29.73","30.00","29.01","3.28M","-0.37%"
"06/16/2025","30.00","30.23","30.50","29.50","741.80K","-0.76%"
"06/15/2025","30.23","29.10","30.47","28.41","713.47K","-3.23%"
"06/12/2025","31.24","30.90","31.24","29.72","824.66K","1.10%"
"06/11/2025","30.90","31.80","31.90","30.78","1.08M","-2.83%"
"06/10/2025","31.80","32.30","32.39","31.64","952.97K","-1.55%"
"06/04/2025","32.30","32.29","32.30","31.86","3.98M","0.40%"
"06/03/2025","32.17","32.18","32.50","31.81","1.18M","0.00%"
"06/02/2025","32.17","32.61","33.24","31.75","1.27M","-1.35%"
"06/01/2025","32.61","33.35","33.38","32.50","286.63K","-2.22%"
"05/29/2025","33.35","32.24","33.35","31.86","1.03M","2.65%"
"05/28/2025","32.49","32.45","32.49","31.75","204.65K","0.87%"
"05/27/2025","32.21","32.59","32.89","32.21","503.08K","-1.20%"
"05/26/2025","32.60","32.58","33.34","32.56","203.80K","0.06%"
"05/25/2025","32.58","32.83","32.83","32.53","27.24K","0.06%"
"05/22/2025","32.56","32.60","32.78","32.53","804.58K","-0.12%"
"05/21/2025","32.60","32.98","32.98","32.52","270.99K","-1.21%"
"05/20/2025","33.00","34.00","34.00","31.65","827.23K","-2.88%"
"05/19/2025","33.98","34.07","34.47","33.50","149.00K","-0.21%"
"05/18/2025","34.05","34.50","34.93","34.00","551.64K","-2.41%"
"05/15/2025","34.89","34.50","34.89","34.34","167.27K","0.26%"
"05/14/2025","34.80","34.98","34.98","34.20","133.24K","0.75%"
"05/13/2025","34.54","34.50","35.00","34.29","541.32K","0.12%"
"05/12/2025","34.50","34.35","34.60","34.32","74.82K","0.82%"
"05/11/2025","34.22","34.68","34.70","34.00","139.53K","-1.33%"
"05/08/2025","34.68","34.51","34.70","34.20","85.83K","0.00%"
"05/07/2025","34.68","35.00","35.00","34.45","16.77M","-0.40%"
"05/06/2025","34.82","34.89","35.00","34.52","85.24K","0.90%"
"05/05/2025","34.51","35.30","35.50","34.40","1.02M","-2.73%"
