"Date","Price","Open","High","Low","Vol.","Change %"
"12/17/2025","103.80","107.91","109.00","103.80","4.04M","-2.83%"
"12/16/2025","106.82","109.00","109.00","106.36","2.68M","-0.51%"
"12/15/2025","107.36","106.36","109.09","106.00","12.17M","1.37%"
"12/14/2025","105.91","106.35","106.58","105.45","1.12M","-0.25%"
"12/11/2025","106.17","106.18","106.64","104.64","2.31M","0.15%"
"12/10/2025","106.02","106.68","107.09","105.84","1.41M","-0.64%"
"12/09/2025","106.70","107.27","107.71","106.20","1.99M","-0.37%"
"12/08/2025","107.09","105.65","107.14","105.65","2.51M","1.38%"
"12/07/2025","105.64","106.59","107.18","105.36","970.69K","-0.51%"
"12/04/2025","106.18","104.57","107.48","104.57","3.53M","1.57%"
"12/03/2025","104.54","99.64","105.91","99.27","5.28M","4.77%"
"12/02/2025","99.77","98.18","99.97","98.18","2.56M","1.82%"
"12/01/2025","97.99","97.97","98.18","97.27","1.87M","0.08%"
"11/30/2025","97.91","97.81","98.17","97.27","1.36M","0.17%"
"11/27/2025","97.75","96.36","97.95","96.25","1.33M","1.63%"
"11/26/2025","96.18","98.10","98.18","95.45","1.51M","-1.89%"
"11/25/2025","98.04","95.46","98.18","95.45","2.94M","3.19%"
"11/24/2025","95.01","96.87","97.64","95.01","8.58M","-1.91%"
"11/23/2025","96.86","96.45","97.95","96.39","1.53M","0.50%"
"11/20/2025","96.38","97.26","97.26","96.38","2.58M","-0.45%"
"11/19/2025","96.82","97.35","98.05","96.75","2.59M","-0.47%"
"11/18/2025","97.27","98.64","99.55","97.03","2.28M","-1.34%"
"11/17/2025","98.59","100.00","100.00","97.82","4.10M","-1.39%"
"11/16/2025","99.98","98.79","100.00","98.79","1.17M","1.36%"
"11/13/2025","98.64","100.45","100.45","98.64","1.76M","-1.71%"
"11/12/2025","100.35","100.18","101.18","99.84","3.48M","0.17%"
"11/11/2025","100.18","100.10","101.45","99.64","4.42M","0.08%"
"11/10/2025","100.10","101.37","101.55","99.32","3.60M","-1.25%"
"11/09/2025","101.36","100.00","101.55","99.37","1.62M","2.28%"
"11/06/2025","99.10","97.14","100.00","96.82","6.03M","1.97%"
"11/05/2025","97.18","97.27","97.73","95.91","1.71M","-0.09%"
"11/04/2025","97.27","97.28","98.45","96.36","5.51M","0.95%"
"11/03/2025","96.35","94.65","96.35","94.15","2.22M","1.91%"
"11/02/2025","94.55","95.45","96.08","94.55","1.14M","-1.41%"
"10/30/2025","95.90","95.45","95.90","94.55","1.81M","0.89%"
"10/29/2025","95.05","95.95","96.36","94.55","1.47M","-0.80%"
"10/28/2025","95.82","95.30","96.18","95.01","1.87M","0.61%"
"10/27/2025","95.24","95.45","96.55","94.59","2.33M","-0.23%"
"10/26/2025","95.45","94.55","95.60","94.41","1.41M","1.09%"
"10/23/2025","94.43","95.45","95.45","93.64","1.23M","-0.28%"
"10/22/2025","94.69","94.77","95.47","94.64","2.16M","0.09%"
"10/21/2025","94.61","96.36","96.53","94.55","1.72M","-1.18%"
"10/20/2025","95.74","95.70","97.41","95.52","10.61M","0.25%"
