"Date","Price","Open","High","Low","Vol.","Change %"
"05/21/2025","2.95","2.98","2.98","2.94","5.44M","-0.67%"
"05/20/2025","2.97","2.96","2.97","2.94","4.65M","1.02%"
"05/19/2025","2.94","2.98","3.01","2.93","4.75M","-1.34%"
"05/18/2025","2.98","3.08","3.08","2.98","5.87M","-2.61%"
"05/15/2025","3.06","3.06","3.08","3.05","3.16M","-0.33%"
"05/14/2025","3.07","3.06","3.09","3.06","4.38M","0.33%"
"05/13/2025","3.06","3.09","3.09","3.06","1.97M","0.00%"
"05/12/2025","3.06","3.08","3.10","3.06","2.75M","0.00%"
"05/11/2025","3.06","3.10","3.12","3.06","3.23M","-0.97%"
"05/08/2025","3.09","3.09","3.11","3.08","3.34M","0.00%"
"05/07/2025","3.09","3.09","3.16","3.09","13.12M","0.00%"
"05/06/2025","3.09","3.12","3.14","3.08","5.93M","-0.64%"
"05/05/2025","3.11","3.16","3.17","3.11","6.89M","-1.27%"
"05/04/2025","3.15","3.12","3.20","3.11","45.52M","1.29%"
"04/30/2025","3.11","3.10","3.14","3.10","6.46M","0.32%"
"04/29/2025","3.10","3.08","3.13","3.06","43.00M","1.31%"
"04/28/2025","3.06","3.04","3.08","3.03","5.04M","0.99%"
"04/27/2025","3.03","3.01","3.05","3.01","4.35M","1.00%"
"04/23/2025","3.00","3.00","3.01","2.98","3.99M","0.67%"
"04/22/2025","2.98","3.03","3.03","2.97","4.07M","-0.67%"
"04/17/2025","3.00","3.02","3.02","2.98","2.05M","-0.33%"
"04/16/2025","3.01","3.03","3.05","2.98","6.04M","-0.66%"
"04/15/2025","3.03","3.06","3.08","3.00","6.82M","-3.50%"
"04/14/2025","3.14","3.17","3.20","3.14","6.99M","-0.63%"
"04/13/2025","3.16","3.11","3.16","3.10","3.68M","1.61%"
"04/10/2025","3.11","3.14","3.15","3.09","3.73M","1.97%"
"04/09/2025","3.05","3.12","3.14","3.05","4.99M","-2.24%"
"04/08/2025","3.12","3.14","3.15","3.10","2.86M","0.32%"
"04/07/2025","3.11","3.08","3.13","3.06","3.11M","0.00%"
"04/06/2025","3.11","3.16","3.16","3.08","5.79M","-3.12%"
"04/03/2025","3.21","3.19","3.22","3.18","3.62M","0.31%"
"03/27/2025","3.20","3.14","3.26","3.14","38.50M","2.24%"
"03/26/2025","3.13","3.15","3.16","3.11","1.41M","0.00%"
"03/25/2025","3.13","3.14","3.17","3.11","2.53M","0.32%"
"03/24/2025","3.12","3.18","3.23","3.12","3.42M","-1.89%"
"03/23/2025","3.18","3.20","3.22","3.18","2.26M","-0.62%"
"03/20/2025","3.20","3.17","3.21","3.16","4.80M","1.27%"
"03/19/2025","3.16","3.23","3.25","3.16","3.54M","-1.25%"
"03/18/2025","3.20","3.16","3.21","3.13","33.73M","1.59%"
"03/17/2025","3.15","3.21","3.23","3.15","6.89M","-1.56%"
"03/16/2025","3.20","3.24","3.25","3.20","5.41M","0.00%"
"03/13/2025","3.20","3.26","3.29","3.18","7.54M","-1.23%"
"03/12/2025","3.24","3.30","3.30","3.23","7.73M","-0.92%"
"03/11/2025","3.27","3.27","3.32","3.27","4.12M","-1.21%"
"03/10/2025","3.31","3.37","3.38","3.30","5.56M","-1.49%"
"03/09/2025","3.36","3.31","3.43","3.30","12.51M","2.13%"
"03/06/2025","3.29","3.32","3.35","3.28","5.23M","-0.60%"
"03/05/2025","3.31","3.40","3.42","3.27","5.63M","-2.65%"
"03/04/2025","3.40","3.41","3.43","3.39","2.68M","-0.29%"
"03/03/2025","3.41","3.47","3.48","3.35","6.80M","-0.87%"
"03/02/2025","3.44","3.50","3.54","3.44","5.39M","-1.71%"
"02/27/2025","3.50","3.63","3.66","3.50","6.33M","-3.31%"
"02/26/2025","3.62","3.56","3.66","3.54","6.87M","1.69%"
"02/25/2025","3.56","3.55","3.60","3.51","2.64M","0.56%"
"02/24/2025","3.54","3.56","3.62","3.52","7.10M","-0.56%"
"02/23/2025","3.56","3.60","3.60","3.51","1.75M","-1.11%"
"02/20/2025","3.60","3.47","3.60","3.47","11.45M","2.86%"
"02/19/2025","3.50","3.51","3.54","3.46","3.04M","-0.28%"
"02/18/2025","3.51","3.42","3.52","3.40","11.04M","2.63%"
"02/17/2025","3.42","3.43","3.46","3.38","5.64M","0.59%"
"02/16/2025","3.40","3.31","3.48","3.31","11.97M","3.03%"
"02/13/2025","3.30","3.24","3.36","3.24","4.90M","2.17%"
"02/12/2025","3.23","3.28","3.29","3.23","5.35M","-1.52%"
"02/11/2025","3.28","3.40","3.41","3.28","4.89M","-3.53%"
"02/10/2025","3.40","3.42","3.42","3.38","3.34M","0.29%"
"02/09/2025","3.39","3.41","3.45","3.39","1.96M","-0.59%"
"02/06/2025","3.41","3.38","3.42","3.38","2.65M","0.89%"
"02/05/2025","3.38","3.38","3.40","3.36","1.52M","0.00%"
"02/04/2025","3.38","3.43","3.46","3.36","4.09M","-1.46%"
"02/03/2025","3.43","3.44","3.50","3.40","3.02M","-0.58%"
"02/02/2025","3.45","3.55","3.55","3.44","4.39M","-1.99%"
"01/30/2025","3.52","3.57","3.62","3.50","36.74M","-0.56%"
"01/29/2025","3.54","3.57","3.68","3.54","60.52M","1.14%"
"01/28/2025","3.50","3.38","3.57","3.37","12.46M","4.17%"
"01/27/2025","3.36","3.39","3.40","3.35","2.76M","-0.59%"
"01/26/2025","3.38","3.44","3.44","3.38","2.97M","-0.88%"
"01/23/2025","3.41","3.45","3.47","3.38","3.94M","-1.16%"
"01/22/2025","3.45","3.46","3.49","3.44","2.94M","0.88%"
"01/21/2025","3.42","3.40","3.48","3.40","4.67M","0.88%"
"01/20/2025","3.39","3.41","3.44","3.37","1.55M","-0.59%"
"01/19/2025","3.41","3.48","3.48","3.36","8.25M","-1.73%"
"01/16/2025","3.47","3.47","3.51","3.45","8.70M","0.00%"
"01/15/2025","3.47","3.55","3.56","3.44","7.80M","-0.86%"
"01/14/2025","3.50","3.55","3.56","3.40","14.67M","4.17%"
"01/13/2025","3.36","3.43","3.62","3.35","13.43M","-1.75%"
"01/12/2025","3.42","3.50","3.53","3.40","8.38M","-2.29%"
"01/09/2025","3.50","3.29","3.52","3.25","15.25M","7.69%"
"01/08/2025","3.25","3.31","3.36","3.25","5.14M","-1.81%"
"01/06/2025","3.31","3.39","3.39","3.30","1.37M","-1.49%"
"01/05/2025","3.36","3.44","3.45","3.35","2.17M","-1.75%"
"01/02/2025","3.42","3.33","3.45","3.32","4.82M","2.09%"
"12/31/2024","3.35","3.22","3.37","3.21","4.80M","4.36%"
"12/30/2024","3.21","3.24","3.29","3.20","29.97M","-0.93%"
"12/29/2024","3.24","3.29","3.32","3.23","1.16M","-1.22%"
"12/26/2024","3.28","3.33","3.38","3.27","1.76M","-1.50%"
"12/25/2024","3.33","3.23","3.40","3.22","5.03M","3.10%"
"12/24/2024","3.23","3.23","3.29","3.18","1.75M","0.31%"
"12/23/2024","3.22","3.29","3.32","3.21","1.41M","-1.83%"
"12/22/2024","3.28","3.27","3.35","3.27","1.23M","0.31%"
"12/19/2024","3.27","3.26","3.29","3.24","1.83M","0.31%"
"12/18/2024","3.26","3.30","3.33","3.26","2.43M","-0.31%"
"12/17/2024","3.27","3.27","3.40","3.26","6.55M","0.62%"
"12/16/2024","3.25","3.31","3.33","3.25","3.92M","-1.81%"
"12/15/2024","3.31","3.36","3.37","3.29","4.08M","-0.60%"
"12/12/2024","3.33","3.35","3.39","3.30","1.72M","-0.30%"
"12/11/2024","3.34","3.36","3.41","3.34","2.04M","-0.30%"
"12/10/2024","3.35","3.40","3.47","3.35","3.61M","-1.18%"
"12/09/2024","3.39","3.56","3.59","3.38","14.57M","-4.51%"
"12/08/2024","3.55","3.62","3.75","3.53","30.37M","2.60%"
"12/05/2024","3.46","3.36","3.50","3.32","10.34M","2.98%"
"12/04/2024","3.36","3.28","3.38","3.26","13.15M","4.02%"
"12/03/2024","3.23","3.21","3.30","3.20","10.30M","0.62%"
"12/02/2024","3.21","3.30","3.34","3.20","6.98M","-1.83%"
"12/01/2024","3.27","3.21","3.32","3.19","9.44M","2.19%"
"11/28/2024","3.20","3.34","3.37","3.18","13.37M","-3.32%"
"11/27/2024","3.31","3.34","3.47","3.29","13.69M","-4.34%"
"11/26/2024","3.46","3.50","3.50","3.34","6.28M","0.87%"
"11/25/2024","3.43","3.46","3.55","3.42","2.23M","-0.58%"
"11/24/2024","3.45","3.58","3.60","3.45","1.44M","-4.17%"
"11/21/2024","3.60","3.65","3.69","3.56","6.51M","-1.64%"
"11/20/2024","3.66","3.72","3.72","3.54","7.86M","-1.08%"
"11/19/2024","3.70","3.39","3.70","3.37","14.49M","9.14%"
"11/18/2024","3.39","3.56","3.62","3.34","7.43M","-4.51%"
"11/17/2024","3.55","3.70","3.70","3.53","6.68M","-4.05%"
"11/14/2024","3.70","3.63","4.00","3.53","39.90M","2.78%"
