Symbol,Source_URL,Bid/Ask,Prev. Close,Open,Day's Range,52 wk Range,Volume,Average Vol. (3m),1-Year Change,Fair Value,Fair Value Upside,Market Cap,Shares Outstanding,Revenue,Net Income,EPS,EPS Growth Forecast,Next Earnings Date,Dividend (Yield),Dividends PaymentStreak,RSI(14),P/E Ratio,Return on Assets,Return on Equity,Gross Profit Margin,Price/Book,EBITDA,EV/EBITDA,Beta,Book Value / Share,ISIN
KABO,https://www.investing.com/equities/kabo,5.97/6.17,5.93,5.92,5.92-6.3,3.9-7.3,2.72M,2.59M,41.19%,Unlock,Unlock,3.43B,564.69M,1.12B,25.737626,0.0554,Unlock,-,N/A(N/A),Unlock,30.54,109.39,1.4%,5.2%,16.1%,6.64,19.06M,-221.14,0.62,1.09,EGS33061C010
OBRI,https://www.investing.com/equities/el-obour-real-estate-investment,41.70/42.00,41.38,42,41.25-43.2,7.18-45.75,438.82K,751.01K,381.16%,Unlock,Unlock,1.66B,40M,1.01B,43.786054,1.0947,Unlock,-,N/A(N/A),Unlock,62.08,37.91,4.7%,16.9%,9.8%,5.86,47.72M,28,0.17,7.06,EGS65551C011
UEGC,https://www.investing.com/equities/upper-egypt-co,1.51/1.53,1.54,1.56,1.51-1.56,0.83-1.59,21.68M,30.63M,65.24%,Unlock,Unlock,1.1B,725.23M,2.12B,108.084423,0.1487,Unlock,-,N/A(N/A),Unlock,63.08,10.29,3%,8.3%,28.3%,0.81,536.77M,4.92,0.33,1.73,EGS21531C016
SWDY,https://www.investing.com/equities/elsewedy-cable,79.72/80.80,80.47,80.62,79.56-80.98,62.1-90,352.37K,295K,2.25%,Unlock,Unlock,172.92B,2.17B,266.87B,16.88K,6.8498,Unlock,"Feb 19, 2026",1.00(1.24%),Unlock,63.03,11.64,7.1%,25.5%,15.3%,2.78,28.25B,6.93,-0.02,29.33,EGS3G0Z1C014
ELSH,https://www.investing.com/equities/shams-hous-dev,7.95/8.10,8.18,8.19,7.95-8.24,5.73-9.54,2.09M,3.67M,35.21%,Unlock,Unlock,1.82B,226.88M,171.53M,142.407428,0.6277,Unlock,"Feb 25, 2026",0.05(0.61%),Unlock,32.22,12.79,9.2%,15%,96.5%,1.84,115.88M,16.66,0.67,4.44,EGS65091C018
ELEC,https://www.investing.com/equities/electro-cable,2.98/3.00,2.97,3,2.97-3.09,2.42-3.36,39.59M,8.7M,9.19%,Unlock,Unlock,9.91B,3.31B,11.69B,552.658365,0.1668,Unlock,-,N/A(N/A),Unlock,58.37,17.87,3.5%,14.8%,29.1%,2.55,2.99B,6.7,-0.35,1.16,EGS3G231C011
EMFD,https://www.investing.com/equities/emaar-misr-for-development-sae,9.45/9.48,9.53,9.57,9.46-9.69,6.51-10.58,3.08M,5.79M,28.78%,Unlock,Unlock,51.91B,5.45B,20.32B,9.35K,1.752,Unlock,"Feb 25, 2026",N/A(N/A),Unlock,51.50,5.41,6.6%,16.1%,52.9%,0.8,8.92B,2.17,0.66,11.94,EGS673Y1C015
FWRY,https://www.investing.com/equities/fawry-banking-and-payment,15.80/15.85,15.93,15.95,15.7-15.98,7.88-16.64,2.44M,8.94M,81.85%,Unlock,Unlock,54.27B,3.41B,7.72B,2.54K,0.6784,Unlock,"Feb 25, 2026",N/A(N/A),Unlock,54.20,23.95,18.2%,40.9%,64.3%,7.89,2.95B,16.73,1.37,2.02,EGS745L1C014
GBCO,https://www.investing.com/equities/gb-auto-s.a.e,26.80/27.40,26.07,26.2,26.11-27.88,14.89-28.5,4.49M,1.92M,54.63%,Unlock,Unlock,29.5B,1.09B,76.09B,3.56K,3.1888,Unlock,"Feb 26, 2026",0.35(1.34%),Unlock,44.94,8.47,4.6%,13.5%,15.9%,1.05,6.61B,7.42,0.52,25.01,EGS673T1C012
GGCC,https://www.investing.com/equities/giza-contracti,0.612/0.615,0.627,0.631,0.606-0.634,0.39-0.674,9.72M,24.76M,48.93%,Unlock,Unlock,887.27M,1.44B,1.02B,178.419457,0.1237,Unlock,-,N/A(N/A),Unlock,50.39,4.97,7.5%,25.2%,19%,1.14,127.97M,7.53,0.48,0.55,EGS21541C015
HDBK,https://www.investing.com/equities/housing---dev,91.20/91.98,90.05,90.25,90-94,50-94,601.31K,266.13K,67.63%,Unlock,Unlock,48.73B,531.3M,38.08B,17.47K,32.8776,Unlock,"Feb 25, 2026",5.00(5.55%),Unlock,56.55,2.79,9%,55.4%,-,1.25,-,-,0.24,71.95,EGS60301C016
ISPH,https://www.investing.com/equities/ibnsina-pharma,10.92/11.07,11.2,11.24,10.85-11.29,5.85-12.3,2.34M,3.78M,56.64%,Unlock,Unlock,11.03B,1.01B,72.83B,867.892848,0.6974,Unlock,"Feb 25, 2026",0.16(1.43%),Unlock,41.52,15.77,2.8%,32.6%,8.4%,4.45,3.48B,9.97,0.59,2.47,EGS512O1C012
ICFC,https://www.investing.com/equities/icfc,15.60/15.67,14.89,14.91,14.75-15.65,9.7-33.2,2.87M,937.82K,50.4%,Unlock,Unlock,348.98M,22.5M,-,255.829819,-,Unlock,-,N/A(N/A),Unlock,-,-,-,-,7.2%,-,168.46M,-,-,-,EGS520D1C015
IEEC,https://www.investing.com/equities/industrial-engineer-enterprises,0.466/0.47,0.483,0.483,0.464-0.485,0.242-0.494,31.34M,53.64M,87.94%,Unlock,Unlock,626.94M,1.46B,-,-,-,Unlock,-,N/A(N/A),Unlock,-,-,-,-,-,-,-,-,-,-,EGS22171C010
ENGC,https://www.investing.com/equities/eng-indust(ico),33.84/34.70,34.86,35.32,33.75-35.32,21-39.77,206.06K,462.22K,42.23%,Unlock,Unlock,4.92B,145.5M,6.96B,761.553404,4.4551,Unlock,-,1.25(3.59%),Unlock,50.34,7.63,14.1%,28.5%,36.8%,2.05,1.99B,3.75,0.62,16.97,EGS3F021C017
IFAP,https://www.investing.com/equities/intl-agri-prod,18.74/18.88,18.82,18.82,18.5-19.06,8.109-26.5,390.63K,634K,137%,Unlock,Unlock,9.27B,497.29M,2.44B,440.927407,1.0342,Unlock,-,N/A(N/A),Unlock,57.48,18.03,10.1%,13%,6.1%,2.1,41.37M,134.53,0.67,11.74,EGS07061C012
ISMQ,https://www.investing.com/equities/iron-steel-for-mines-quarries,7.10/7.27,7.21,7.22,7.08-7.27,3.62-7.6,3.22M,8.87M,80.7%,Unlock,Unlock,7.04B,976.87M,1.48B,754.72743,0.773,Unlock,-,0.42(5.83%),Unlock,69.25,9.72,86.2%,163.2%,78.7%,13.25,973.98M,6.67,-0.609,0.57,EGS102S1C014
ISMA,https://www.investing.com/equities/ismalia-poultr,14.00/13.25,13.27,13.36,13.03-13.44,8-14.77,454.88K,1.4M,31%,Unlock,Unlock,1.19B,89.86M,80.13M,69.883221,0.7777,Unlock,-,N/A(N/A),Unlock,45.84,17.02,20.8%,49.6%,90%,6.78,70.91M,16.76,-0.21,1.96,EGS02021C011
JUFO,https://www.investing.com/equities/juhayna-food-industries,27.30/27.50,27.71,27.7,26.75-27.98,19.2-31.84,2.49M,1.41M,3.74%,Unlock,Unlock,32.13B,1.18B,28.11B,1.57K,1.0974,Unlock,"Feb 25, 2026",0.24(0.87%),Unlock,72.35,24.88,10.1%,19.2%,23.1%,4.41,3.4B,11.07,-0.12,6.28,EGS30901C010
EGCH,https://www.investing.com/equities/egypt-chem-ind,11.47/11.88,11.71,11.71,11.46-11.92,6.75-12.95,2.61M,3.08M,48.79%,Unlock,Unlock,22.94B,1.99B,8.31B,3.25K,1.6346,Unlock,"Feb 25, 2026",N/A(N/A),Unlock,49.34,7.07,-,38.7%,38.4%,-,2.47B,13.3,0.47,-,EGS38201C017
LCSW,https://www.investing.com/equities/lecico-egypt,24.85/24.90,25.13,25.15,24.81-25.19,21-32.7,243.01K,731.21K,-14.52%,Unlock,Unlock,1.99B,80M,7.53B,292.114303,3.6514,Unlock,"Feb 26, 2026",N/A(N/A),Unlock,39.01,6.82,4.3%,10.1%,24.7%,0.95,998.37M,4.02,-0.58,26.5,EGS3C161C014
MCRO,https://www.investing.com/equities/macro-pharmaceutical,1.11/1.13,1.12,1.12,1.11-1.13,0.69-4.11,2.76M,20.11M,-49.09%,Unlock,Unlock,638.63M,570.21M,879.03M,131.909263,0.23,Unlock,-,N/A(N/A),Unlock,38.14,4.96,19.5%,113.9%,67.6%,3.51,163.41M,4.93,0.31,0.32,EGS7D971C011
MASR,https://www.investing.com/equities/medinet-nasr-h,4.32/4.33,4.33,4.34,4.28-4.35,3.68-4.9,8.81M,5.27M,11.89%,Unlock,Unlock,8.81B,2.05B,8.39B,2.75K,1.1596,Unlock,"Mar 02, 2026",0.25(5.77%),Unlock,55.38,3.71,9%,23.7%,61.7%,0.81,3.56B,2.31,0.47,5.16,EGS65571C019
MPCO,https://www.investing.com/equities/mansourah-pltr,1.68/1.69,1.7,1.71,1.67-1.72,0.906-2.074,19.79M,48.68M,73.86%,Unlock,Unlock,1.68B,1B,961.83M,96.219215,0.1005,Unlock,-,N/A(N/A),Unlock,47.05,16.62,20.1%,30.3%,15.5%,4.83,99.84M,17,-0.5,0.35,EGS02091C014
MOIL,https://www.investing.com/equities/maridv---oil-s,0.451/0.46,0.446,0.449,0.447-0.461,0.239-0.51,510.66K,610.91K,24.23%,Unlock,Unlock,213.97M,470.26M,241.1M,38.239737,0.0813,Unlock,-,N/A(N/A),Unlock,50.20,5.60,6.7%,33.8%,51%,0.94,153.63M,2.66,1,0.48,EGS44012C010
MEPA,https://www.investing.com/equities/medical-packaging-company,1.76/1.78,1.75,1.76,1.75-1.79,1.06-2.02,16.58M,35.05M,38.89%,Unlock,Unlock,1.15B,655M,133.79M,36.981786,0.0565,Unlock,-,N/A(N/A),Unlock,38.61,30.97,15.6%,18.5%,37.8%,5.24,38.29M,27.86,1.14,0.33,EGS3C4L1C015
MPCI,https://www.investing.com/equities/memphis-pharmaceuticals,145.80/146.20,147.04,147.11,145.76-149.5,47.15-232.95,435.21K,353.2K,186.35%,Unlock,Unlock,3.33B,22.75M,1.61B,517.388597,22.7424,Unlock,-,13.19(8.97%),Unlock,26.23,6.42,34.7%,117.2%,43.3%,5.63,550.24M,4.71,0.09,26.13,EGS38351C010
MENA,https://www.investing.com/equities/mena-invest,4.68/4.73,4.76,4.79,4.66-4.79,3.94-6.46,202.1K,1.81M,7.69%,Unlock,Unlock,1.14B,241.92M,5.56M,-26.84633,-0.111,Unlock,-,N/A(N/A),Unlock,47.07,-42.34,-14.1%,-22.5%,-24.8%,10.89,21.2M,-53.74,-0.29,0.44,EGS65441C015
MCQE,https://www.investing.com/equities/misr-cement-qe,173.10/176.50,175.24,177,171.61-179.4,20.62-185.7,69.25K,290.94K,652.1%,Unlock,Unlock,16.63B,96M,8.5B,1.51K,15.7711,Unlock,"Feb 25, 2026",1.50(0.86%),Unlock,65.16,10.98,32.2%,69.5%,35%,5.87,2.74B,5.88,-0.05,29.88,EGS3C391C017
HELI,https://www.investing.com/equities/heliopolis-housing,3.43/3.50,3.51,3.52,3.41-3.56,2.91-3.98,36.55M,26.26M,16.48%,Unlock,Unlock,13.78B,4.01B,1.43B,1.88K,0.4692,Unlock,"Feb 25, 2026",0.45(12.72%),Unlock,38.06,7.29,11.2%,22.2%,83.6%,1.67,1.34B,14.67,0.13,2.1,EGS65591C017
